DlangUI log file
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Leelawadee UI)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Leelawadee UI)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Leelawadee UI)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Leelawadee UI Semilight)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Lucida Console)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Lucida Console)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Lucida Console)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Lucida Console)
2026-03-02 20:41:15.845 D  registerFont(MonoSpace,Lucida Console)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Lucida Sans Unicode)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.845 D  registerFont(SansSerif,Malgun Gothic Semilight)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Himalaya)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft JhengHei UI Light)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft New Tai Lue)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft PhagsPa)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Sans Serif)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft Tai Le)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei UI)
2026-03-02 20:41:15.846 D  registerFont(SansSerif,Microsoft YaHei UI)
